iter	Accuracy	Logloss
0	0.5714502658	0.6926704896
1	0.5836282927	0.6919899149
2	0.5852520297	0.6914726867
3	0.5860989428	0.6908888938
4	0.5868231996	0.6904269864
5	0.5889434028	0.6899316887
6	0.590613866	0.6894022421
7	0.5923310554	0.6888431736
8	0.5953332165	0.6881638686
9	0.5965364173	0.6876206312
10	0.5953799428	0.6872746608
11	0.5963903978	0.6866085351
12	0.5956194148	0.6862183072
13	0.5957654343	0.6858081957
14	0.5955376438	0.6853204438
15	0.5951229484	0.6849455083
16	0.5952339233	0.6844273615
17	0.5950586998	0.6840860717
18	0.5947140938	0.6837451802
19	0.5947140938	0.683361975
20	0.5943811693	0.683000805
21	0.5945271888	0.6825999876
22	0.5944804626	0.6822702455
23	0.5944045324	0.6818837496
24	0.5945680743	0.6814878717
25	0.5948659541	0.6811042983
26	0.5947374569	0.680834314
27	0.5947783424	0.6805067579
28	0.5949418842	0.6801325693
29	0.5946323229	0.6799107756
30	0.5944570995	0.6796652652
31	0.5941416973	0.6794301814
32	0.5941066526	0.6791987311
33	0.5939781555	0.6789736364
34	0.5947783424	0.6785945709
35	0.5947024122	0.6782954254
36	0.5947666608	0.6780152979
37	0.5946498452	0.6777915232
38	0.5945447112	0.6775698074
39	0.5943578062	0.6773663002
40	0.5943870101	0.6770770905
41	0.5948309094	0.6767546169
42	0.5952456048	0.6764078643
43	0.5953682612	0.6761915826
44	0.5953448981	0.6759745853
45	0.5953916243	0.675760103
46	0.5961275626	0.6754506907
47	0.5964838502	0.6751748117
48	0.5969803166	0.6749343783
49	0.5969627942	0.6747142649
50	0.5969569534	0.6744930645
51	0.5967700485	0.6743291543
52	0.5966415513	0.6741861792
53	0.5964955318	0.6740429465
54	0.5966357105	0.6738480873
55	0.5976578471	0.6735372565
56	0.5975819169	0.6733471849
57	0.5978097074	0.6731454136
58	0.5977688219	0.6729479258
59	0.5978038666	0.6726945545
60	0.5979031599	0.6725259632
61	0.5980550202	0.6723301187
62	0.5980900648	0.6721756016
63	0.5984697156	0.6718666909
64	0.5990012266	0.6716095561
65	0.5992056539	0.6713525634
66	0.5995561007	0.6711223649
67	0.5999065475	0.6708800821
68	0.6003913323	0.6706141407
69	0.6006016004	0.6704465023
70	0.6008936394	0.6702663947
71	0.6011506337	0.670088933
72	0.6011506337	0.6698834189
73	0.6012674493	0.6697411618
74	0.6014193096	0.6696168285
75	0.6018164827	0.6693788399
76	0.6016295777	0.6692742617
77	0.6019741838	0.6691240522
78	0.6019449798	0.6689840183
79	0.6022545412	0.6688009491
80	0.6025290579	0.6685794203
81	0.6027101221	0.6684678724
