iter	Passed	Remaining
0	382	765276
1	874	873582
2	1335	889192
3	1748	872653
4	2076	828337
5	2349	780716
6	2706	770680
7	3037	756242
8	3415	755604
9	3706	737542
10	3978	719297
11	4417	731793
12	4671	714051
13	5042	715267
14	5377	711649
15	5753	713447
16	6102	711849
17	6417	706687
18	6738	702597
19	7111	704029
20	7473	704243
21	7824	703482
22	8216	706277
23	8525	701967
24	8944	706641
25	9357	710481
26	9723	710570
27	10128	713335
28	10445	709947
29	10774	707504
30	11101	705107
31	11538	709636
32	11945	712034
33	12358	714587
34	12797	718502
35	13252	723020
36	13757	729912
37	14298	738265
38	14777	743028
39	15227	746166
40	15639	747279
41	16021	746919
42	16396	746244
43	16831	748236
44	17258	749770
45	17649	749705
46	18074	751049
47	18684	759833
48	19164	763073
49	19590	764025
50	20013	764814
51	20416	764823
52	20821	764890
53	21358	769713
54	21821	771673
55	22237	771943
56	22609	770695
57	22995	769967
58	23442	771229
59	23911	773149
60	24401	775632
61	24867	777305
62	25329	778796
63	25867	782497
64	26310	783228
65	26718	782922
66	27116	782342
67	27480	780767
68	27862	779755
69	28250	778895
70	28673	779023
71	29188	781606
72	29687	783670
73	30117	783862
74	30748	789211
75	31294	792238
76	31860	795679
77	32400	798375
78	33248	808487
79	34100	818420
80	34643	820754
81	35035	819483
